,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
11,"[682, 94, 295, 382]",0.1,0.0,0.01,0.55,0.02,0.01,0.31,"[557, 165, 177, 227]",0.88,0.03,0.07,0.0,0.02,0.0,0.0,,,,,,,,
12,"[621, 139, 189, 253]",0.45,0.0,0.34,0.0,0.12,0.02,0.08,"[703, 116, 262, 330]",0.3,0.0,0.28,0.0,0.26,0.01,0.15,,,,,,,,
13,"[596, 153, 181, 244]",0.77,0.02,0.1,0.0,0.08,0.02,0.01,,,,,,,,,,,,,,,,
14,"[590, 137, 182, 238]",0.68,0.02,0.1,0.0,0.17,0.0,0.03,,,,,,,,,,,,,,,,
15,"[571, 157, 176, 229]",0.5,0.02,0.22,0.0,0.26,0.0,0.0,"[706, 99, 269, 369]",0.21,0.0,0.23,0.26,0.08,0.01,0.21,,,,,,,,
16,"[619, 138, 173, 239]",0.62,0.01,0.19,0.0,0.1,0.06,0.02,"[684, 103, 283, 357]",0.07,0.0,0.67,0.02,0.14,0.01,0.1,,,,,,,,
17,"[514, 129, 199, 247]",0.25,0.0,0.33,0.0,0.36,0.01,0.05,"[683, 91, 282, 375]",0.05,0.0,0.26,0.05,0.15,0.01,0.48,,,,,,,,
18,"[572, 148, 183, 244]",0.02,0.0,0.43,0.0,0.53,0.0,0.01,"[692, 97, 293, 389]",0.19,0.0,0.37,0.1,0.15,0.0,0.18,,,,,,,,
19,"[512, 158, 170, 232]",0.44,0.0,0.35,0.0,0.19,0.0,0.02,"[705, 97, 258, 357]",0.11,0.01,0.22,0.11,0.11,0.01,0.43,,,,,,,,
20,"[597, 171, 178, 237]",0.14,0.01,0.38,0.0,0.33,0.08,0.07,"[0, 368, 34, 38]",0.34,0.0,0.18,0.1,0.31,0.01,0.05,,,,,,,,
21,"[568, 149, 187, 245]",0.19,0.01,0.43,0.0,0.36,0.0,0.02,"[708, 106, 269, 360]",0.32,0.0,0.2,0.05,0.2,0.01,0.21,,,,,,,,
22,"[569, 133, 186, 249]",0.76,0.0,0.11,0.0,0.12,0.0,0.01,,,,,,,,,,,,,,,,
23,"[577, 136, 184, 247]",0.47,0.01,0.3,0.0,0.17,0.03,0.02,"[697, 112, 277, 347]",0.1,0.0,0.14,0.1,0.29,0.01,0.37,,,,,,,,
24,"[568, 139, 187, 246]",0.18,0.01,0.44,0.0,0.31,0.01,0.04,"[696, 113, 278, 347]",0.06,0.0,0.17,0.2,0.16,0.01,0.41,,,,,,,,
25,"[573, 181, 180, 235]",0.11,0.04,0.34,0.0,0.48,0.0,0.03,"[702, 103, 277, 360]",0.08,0.0,0.26,0.1,0.16,0.0,0.39,,,,,,,,
26,"[712, 100, 279, 376]",0.08,0.0,0.5,0.08,0.13,0.01,0.2,"[556, 181, 177, 224]",0.21,0.11,0.16,0.0,0.48,0.0,0.03,,,,,,,,
27,"[566, 156, 184, 247]",0.45,0.01,0.22,0.0,0.31,0.0,0.01,"[697, 103, 265, 348]",0.09,0.0,0.25,0.07,0.25,0.01,0.33,,,,,,,,
28,"[607, 151, 184, 241]",0.22,0.05,0.23,0.0,0.47,0.0,0.03,,,,,,,,,,,,,,,,
29,"[601, 154, 182, 240]",0.19,0.02,0.16,0.0,0.59,0.0,0.03,"[696, 95, 295, 403]",0.26,0.0,0.47,0.02,0.2,0.0,0.05,,,,,,,,
30,"[584, 136, 172, 227]",0.59,0.02,0.13,0.0,0.25,0.0,0.0,"[708, 102, 275, 359]",0.05,0.0,0.08,0.38,0.06,0.01,0.43,,,,,,,,
31,"[595, 139, 180, 244]",0.12,0.0,0.09,0.0,0.77,0.01,0.01,,,,,,,,,,,,,,,,
32,"[628, 168, 180, 234]",0.19,0.02,0.17,0.0,0.6,0.0,0.03,,,,,,,,,,,,,,,,
33,"[703, 93, 284, 382]",0.11,0.0,0.22,0.33,0.08,0.01,0.26,"[534, 136, 183, 245]",0.54,0.06,0.08,0.0,0.32,0.0,0.0,,,,,,,,
34,"[609, 175, 181, 230]",0.43,0.06,0.18,0.0,0.29,0.0,0.03,,,,,,,,,,,,,,,,
35,"[579, 146, 180, 236]",0.26,0.04,0.25,0.0,0.33,0.0,0.13,,,,,,,,,,,,,,,,
36,"[549, 150, 176, 226]",0.28,0.06,0.39,0.0,0.24,0.0,0.04,"[691, 96, 288, 381]",0.11,0.0,0.19,0.05,0.12,0.0,0.52,,,,,,,,
37,"[588, 159, 184, 243]",0.18,0.01,0.43,0.0,0.36,0.01,0.02,,,,,,,,,,,,,,,,
38,"[549, 113, 190, 243]",0.13,0.0,0.08,0.0,0.78,0.0,0.01,"[703, 87, 275, 374]",0.06,0.0,0.29,0.09,0.09,0.01,0.47,,,,,,,,
39,"[573, 142, 183, 241]",0.18,0.04,0.33,0.0,0.42,0.0,0.04,"[688, 98, 289, 377]",0.21,0.0,0.35,0.03,0.15,0.0,0.26,"[1054, 302, 44, 51]",0.14,0.01,0.15,0.29,0.1,0.01,0.32
40,"[544, 143, 182, 234]",0.15,0.01,0.2,0.0,0.62,0.01,0.02,"[703, 91, 273, 368]",0.07,0.0,0.33,0.04,0.1,0.01,0.45,,,,,,,,
41,"[542, 161, 189, 233]",0.13,0.04,0.11,0.0,0.67,0.0,0.05,"[705, 92, 279, 376]",0.09,0.0,0.27,0.15,0.12,0.01,0.36,,,,,,,,
42,"[626, 184, 180, 239]",0.14,0.0,0.31,0.0,0.54,0.01,0.01,,,,,,,,,,,,,,,,
43,"[603, 161, 169, 211]",0.32,0.1,0.23,0.0,0.33,0.0,0.02,"[690, 99, 289, 388]",0.29,0.0,0.36,0.03,0.21,0.0,0.1,,,,,,,,
44,"[567, 143, 183, 245]",0.04,0.0,0.08,0.0,0.86,0.0,0.01,"[692, 102, 282, 376]",0.26,0.0,0.34,0.05,0.19,0.01,0.15,,,,,,,,
45,"[585, 153, 175, 234]",0.11,0.43,0.17,0.0,0.27,0.0,0.01,,,,,,,,,,,,,,,,
46,"[598, 140, 184, 237]",0.17,0.02,0.25,0.0,0.55,0.0,0.01,,,,,,,,,,,,,,,,
47,"[582, 124, 193, 244]",0.14,0.0,0.17,0.0,0.6,0.0,0.09,"[694, 99, 280, 366]",0.07,0.0,0.28,0.08,0.27,0.01,0.28,,,,,,,,
48,"[602, 139, 182, 231]",0.18,0.0,0.28,0.0,0.44,0.0,0.08,"[702, 102, 277, 378]",0.3,0.0,0.45,0.04,0.11,0.02,0.09,,,,,,,,
49,"[555, 140, 184, 236]",0.09,0.01,0.21,0.0,0.66,0.0,0.02,"[707, 104, 272, 369]",0.08,0.0,0.37,0.27,0.1,0.02,0.16,,,,,,,,
50,"[639, 173, 172, 234]",0.49,0.0,0.18,0.01,0.28,0.01,0.02,,,,,,,,,,,,,,,,
51,"[572, 155, 177, 231]",0.14,0.02,0.19,0.0,0.61,0.02,0.02,"[687, 97, 292, 379]",0.33,0.0,0.19,0.1,0.08,0.01,0.29,"[1, 370, 31, 35]",0.43,0.01,0.19,0.09,0.23,0.01,0.05
52,"[616, 142, 179, 242]",0.7,0.02,0.14,0.0,0.11,0.01,0.02,"[682, 92, 281, 360]",0.18,0.0,0.55,0.02,0.17,0.0,0.07,,,,,,,,
53,"[628, 174, 177, 240]",0.43,0.0,0.28,0.01,0.21,0.02,0.05,"[694, 101, 273, 362]",0.11,0.0,0.26,0.08,0.19,0.01,0.35,,,,,,,,
54,"[563, 170, 183, 234]",0.06,0.01,0.27,0.0,0.66,0.0,0.01,"[698, 94, 282, 379]",0.2,0.0,0.1,0.3,0.08,0.01,0.31,,,,,,,,
55,"[581, 158, 182, 230]",0.22,0.13,0.29,0.0,0.35,0.0,0.01,,,,,,,,,,,,,,,,
56,"[596, 128, 179, 243]",0.29,0.0,0.38,0.0,0.27,0.03,0.02,,,,,,,,,,,,,,,,
