,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
85,"[589, 124, 115, 143]",0.07,0.0,0.11,0.32,0.17,0.05,0.28,"[1083, 96, 54, 66]",0.17,0.0,0.11,0.31,0.28,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"[591, 119, 120, 149]",0.07,0.0,0.11,0.38,0.1,0.05,0.29,"[1083, 95, 54, 67]",0.1,0.0,0.08,0.58,0.17,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"[599, 117, 120, 151]",0.24,0.0,0.13,0.27,0.11,0.06,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"[597, 118, 122, 146]",0.22,0.0,0.16,0.1,0.12,0.17,0.23,"[1083, 95, 54, 67]",0.09,0.0,0.08,0.62,0.15,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"[597, 116, 123, 148]",0.16,0.0,0.12,0.06,0.09,0.09,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"[595, 117, 122, 147]",0.11,0.0,0.18,0.07,0.08,0.1,0.46,"[1083, 95, 54, 67]",0.1,0.0,0.09,0.61,0.15,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[589, 115, 124, 151]",0.26,0.0,0.29,0.11,0.09,0.08,0.17,"[1083, 95, 54, 67]",0.1,0.0,0.09,0.61,0.15,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"[594, 120, 117, 147]",0.41,0.0,0.11,0.19,0.12,0.03,0.13,"[1083, 95, 54, 67]",0.1,0.0,0.08,0.61,0.15,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"[589, 116, 122, 151]",0.36,0.0,0.28,0.06,0.11,0.08,0.11,"[1083, 95, 54, 67]",0.09,0.0,0.09,0.61,0.15,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"[591, 118, 122, 150]",0.21,0.0,0.32,0.14,0.14,0.1,0.09,"[1083, 95, 54, 67]",0.09,0.0,0.09,0.61,0.15,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"[589, 117, 121, 151]",0.35,0.0,0.32,0.15,0.06,0.06,0.05,"[1083, 95, 54, 67]",0.09,0.0,0.09,0.61,0.15,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[593, 121, 119, 150]",0.33,0.0,0.33,0.11,0.14,0.06,0.01,"[1083, 95, 54, 67]",0.09,0.0,0.09,0.61,0.15,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[594, 125, 120, 148]",0.38,0.0,0.2,0.23,0.13,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[601, 128, 113, 141]",0.13,0.0,0.18,0.28,0.19,0.09,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[598, 120, 124, 150]",0.19,0.0,0.15,0.22,0.15,0.13,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[594, 123, 120, 146]",0.2,0.0,0.24,0.14,0.12,0.15,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[593, 126, 123, 155]",0.21,0.0,0.1,0.19,0.21,0.03,0.26,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.55,0.19,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
