,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
103,"[865, 383, 56, 80]",0.13,0.0,0.01,0.03,0.14,0.0,0.7,"[1032, 383, 54, 77]",0.24,0.0,0.13,0.08,0.21,0.01,0.33,"[237, 97, 71, 98]",0.79,0.0,0.06,0.06,0.04,0.02,0.02,"[656, 380, 65, 83]",0.16,0.0,0.02,0.07,0.08,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"[865, 383, 57, 80]",0.24,0.0,0.01,0.01,0.17,0.0,0.56,"[241, 116, 67, 95]",0.11,0.0,0.08,0.44,0.09,0.02,0.27,"[1022, 385, 57, 74]",0.05,0.0,0.01,0.05,0.05,0.0,0.84,"[657, 380, 63, 82]",0.23,0.0,0.05,0.05,0.13,0.01,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"[864, 384, 56, 79]",0.17,0.0,0.01,0.02,0.38,0.0,0.43,"[265, 125, 70, 95]",0.05,0.0,0.02,0.45,0.08,0.01,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"[865, 384, 57, 76]",0.12,0.0,0.01,0.01,0.12,0.0,0.73,"[1026, 403, 58, 77]",0.27,0.0,0.04,0.29,0.06,0.02,0.33,"[262, 119, 71, 100]",0.09,0.0,0.01,0.35,0.06,0.01,0.48,"[666, 364, 59, 79]",0.41,0.0,0.05,0.02,0.09,0.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"[1027, 400, 57, 78]",0.03,0.0,0.0,0.74,0.01,0.0,0.21,"[259, 115, 71, 100]",0.12,0.0,0.02,0.53,0.05,0.01,0.27,"[660, 362, 67, 87]",0.34,0.0,0.04,0.12,0.06,0.08,0.36,"[860, 382, 59, 80]",0.16,0.0,0.02,0.04,0.26,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"[265, 116, 70, 101]",0.21,0.0,0.03,0.29,0.09,0.01,0.38,"[845, 386, 63, 82]",0.04,0.0,0.0,0.01,0.05,0.0,0.9,"[1028, 404, 56, 75]",0.06,0.0,0.01,0.36,0.02,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"[859, 379, 61, 78]",0.09,0.0,0.03,0.02,0.54,0.0,0.33,"[248, 113, 71, 101]",0.26,0.0,0.04,0.28,0.14,0.09,0.19,"[1026, 400, 60, 81]",0.05,0.0,0.01,0.24,0.06,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"[919, 389, 61, 91]",0.88,0.0,0.03,0.01,0.03,0.01,0.03,"[644, 359, 69, 87]",0.07,0.0,0.1,0.04,0.03,0.21,0.55,"[1027, 404, 55, 73]",0.05,0.0,0.0,0.82,0.01,0.0,0.11,"[263, 111, 68, 96]",0.35,0.0,0.04,0.17,0.1,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"[254, 106, 69, 96]",0.26,0.0,0.12,0.13,0.16,0.02,0.31,"[1024, 386, 54, 72]",0.25,0.0,0.05,0.04,0.13,0.01,0.52,"[877, 388, 68, 90]",0.93,0.0,0.01,0.03,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"[913, 396, 60, 83]",0.11,0.0,0.04,0.05,0.14,0.01,0.65,"[255, 112, 70, 100]",0.03,0.0,0.01,0.64,0.03,0.01,0.28,"[1024, 388, 55, 73]",0.22,0.0,0.03,0.03,0.06,0.01,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
