,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
177,"[544, 119, 231, 292]",0.28,0.04,0.21,0.0,0.07,0.02,0.38,,,,,,,,
178,"[542, 74, 219, 274]",0.05,0.0,0.01,0.0,0.01,0.02,0.91,,,,,,,,
179,"[597, 73, 221, 285]",0.12,0.0,0.37,0.0,0.06,0.08,0.37,,,,,,,,
180,"[574, 67, 217, 276]",0.0,0.0,0.02,0.0,0.02,0.0,0.95,"[248, 384, 106, 124]",0.16,0.0,0.11,0.21,0.09,0.03,0.41
181,"[578, 81, 221, 280]",0.02,0.0,0.01,0.01,0.02,0.0,0.94,,,,,,,,
182,"[578, 70, 220, 302]",0.05,0.0,0.08,0.01,0.05,0.03,0.79,,,,,,,,
183,"[588, 75, 211, 290]",0.09,0.0,0.15,0.04,0.05,0.02,0.64,,,,,,,,
184,"[579, 50, 215, 270]",0.01,0.0,0.13,0.0,0.01,0.38,0.46,,,,,,,,
185,"[562, 51, 220, 299]",0.19,0.01,0.09,0.61,0.02,0.07,0.01,,,,,,,,
186,"[568, 78, 226, 305]",0.06,0.01,0.03,0.78,0.03,0.03,0.07,,,,,,,,
187,"[576, 60, 216, 286]",0.27,0.0,0.4,0.12,0.06,0.07,0.08,,,,,,,,
188,"[587, 91, 208, 269]",0.21,0.0,0.18,0.0,0.13,0.03,0.44,,,,,,,,
189,"[573, 76, 213, 270]",0.29,0.05,0.02,0.01,0.12,0.0,0.5,,,,,,,,
190,"[585, 95, 214, 279]",0.28,0.1,0.07,0.02,0.06,0.01,0.48,,,,,,,,
191,"[442, 112, 338, 443]",0.14,0.02,0.04,0.0,0.25,0.0,0.55,,,,,,,,
192,"[445, 86, 350, 435]",0.02,0.0,0.05,0.02,0.07,0.0,0.84,,,,,,,,
193,"[442, 87, 341, 438]",0.06,0.0,0.32,0.02,0.09,0.03,0.49,,,,,,,,
194,"[410, 84, 359, 461]",0.02,0.0,0.07,0.42,0.03,0.01,0.45,,,,,,,,
195,"[399, 103, 356, 442]",0.04,0.0,0.01,0.0,0.01,0.0,0.94,,,,,,,,
196,"[367, 91, 342, 437]",0.03,0.0,0.06,0.0,0.01,0.16,0.75,,,,,,,,
197,"[436, 107, 352, 460]",0.16,0.01,0.36,0.19,0.1,0.04,0.14,,,,,,,,
198,"[443, 127, 334, 398]",0.04,0.0,0.03,0.17,0.01,0.25,0.51,,,,,,,,
199,"[473, 94, 351, 427]",0.25,0.0,0.08,0.0,0.08,0.16,0.42,,,,,,,,
200,"[459, 64, 356, 434]",0.01,0.0,0.01,0.0,0.01,0.01,0.95,,,,,,,,
201,"[435, 96, 356, 449]",0.03,0.0,0.11,0.06,0.03,0.0,0.77,,,,,,,,
202,"[417, 102, 349, 451]",0.15,0.01,0.16,0.02,0.34,0.0,0.33,,,,,,,,
203,"[414, 101, 350, 463]",0.1,0.01,0.23,0.09,0.13,0.01,0.44,,,,,,,,
204,"[415, 103, 353, 466]",0.07,0.01,0.27,0.03,0.19,0.0,0.44,,,,,,,,
205,"[397, 152, 360, 461]",0.07,0.01,0.19,0.37,0.19,0.05,0.12,,,,,,,,
206,"[428, 140, 357, 463]",0.02,0.0,0.02,0.04,0.04,0.0,0.87,,,,,,,,
207,"[418, 113, 355, 446]",0.03,0.0,0.01,0.0,0.03,0.01,0.92,,,,,,,,
208,"[476, 128, 351, 456]",0.18,0.0,0.19,0.05,0.15,0.04,0.39,,,,,,,,
209,"[332, 115, 346, 439]",0.17,0.0,0.06,0.02,0.04,0.0,0.7,,,,,,,,
210,"[340, 200, 353, 466]",0.7,0.01,0.07,0.02,0.15,0.0,0.05,,,,,,,,
211,"[354, 252, 364, 453]",0.12,0.11,0.1,0.0,0.26,0.0,0.4,,,,,,,,
212,"[416, 90, 347, 451]",0.03,0.0,0.29,0.0,0.09,0.01,0.57,,,,,,,,
213,"[434, 114, 340, 449]",0.42,0.12,0.06,0.05,0.18,0.01,0.17,,,,,,,,
214,"[424, 108, 346, 469]",0.08,0.0,0.28,0.06,0.3,0.05,0.22,,,,,,,,
215,"[427, 116, 343, 448]",0.09,0.01,0.33,0.09,0.35,0.01,0.13,,,,,,,,
216,"[330, 121, 351, 431]",0.02,0.0,0.01,0.9,0.03,0.0,0.03,,,,,,,,
217,"[223, 161, 352, 454]",0.02,0.0,0.42,0.02,0.07,0.26,0.21,,,,,,,,
218,"[300, 150, 349, 443]",0.13,0.01,0.1,0.02,0.15,0.11,0.49,,,,,,,,
219,"[410, 182, 362, 472]",0.09,0.02,0.27,0.15,0.12,0.01,0.33,,,,,,,,
220,"[425, 114, 343, 436]",0.02,0.01,0.16,0.01,0.29,0.0,0.51,,,,,,,,
221,"[356, 116, 339, 431]",0.23,0.01,0.14,0.0,0.17,0.0,0.45,,,,,,,,
222,"[371, 75, 338, 398]",0.04,0.0,0.02,0.01,0.07,0.01,0.85,,,,,,,,
223,"[379, 156, 354, 458]",0.4,0.01,0.11,0.27,0.07,0.07,0.07,,,,,,,,
224,"[396, 189, 355, 459]",0.73,0.15,0.05,0.0,0.03,0.01,0.03,,,,,,,,
225,"[431, 222, 353, 451]",0.88,0.0,0.08,0.01,0.02,0.01,0.01,,,,,,,,
226,"[400, 103, 333, 429]",0.1,0.0,0.47,0.0,0.06,0.01,0.36,,,,,,,,
227,"[410, 103, 347, 463]",0.17,0.03,0.09,0.0,0.33,0.0,0.37,,,,,,,,
228,"[617, 61, 221, 288]",0.01,0.0,0.9,0.0,0.0,0.06,0.02,,,,,,,,
229,"[603, 91, 225, 296]",0.03,0.0,0.03,0.0,0.03,0.01,0.9,,,,,,,,
230,"[549, 83, 220, 289]",0.27,0.1,0.13,0.01,0.27,0.01,0.21,,,,,,,,
231,"[543, 78, 220, 293]",0.1,0.0,0.03,0.0,0.08,0.0,0.78,,,,,,,,
232,"[557, 81, 216, 292]",0.02,0.0,0.12,0.01,0.04,0.02,0.8,,,,,,,,
233,"[573, 130, 222, 296]",0.25,0.01,0.18,0.0,0.15,0.01,0.39,,,,,,,,
234,"[593, 59, 223, 303]",0.19,0.0,0.26,0.05,0.16,0.08,0.26,"[247, 384, 104, 125]",0.12,0.0,0.1,0.24,0.07,0.02,0.45
235,"[595, 74, 213, 283]",0.1,0.01,0.08,0.01,0.14,0.0,0.65,,,,,,,,
236,"[595, 76, 212, 280]",0.03,0.0,0.14,0.01,0.06,0.0,0.76,,,,,,,,
237,"[595, 71, 218, 292]",0.05,0.0,0.3,0.01,0.07,0.0,0.56,,,,,,,,
238,"[584, 85, 220, 290]",0.15,0.03,0.04,0.01,0.07,0.01,0.71,,,,,,,,
239,"[591, 80, 214, 277]",0.29,0.03,0.03,0.0,0.12,0.0,0.52,,,,,,,,
240,"[581, 90, 212, 270]",0.03,0.0,0.02,0.0,0.06,0.0,0.89,,,,,,,,
241,"[584, 89, 216, 277]",0.09,0.02,0.11,0.0,0.15,0.0,0.63,,,,,,,,
242,"[580, 81, 219, 283]",0.1,0.14,0.02,0.03,0.07,0.0,0.65,,,,,,,,
243,"[565, 72, 217, 271]",0.1,0.04,0.07,0.16,0.03,0.01,0.59,,,,,,,,
244,"[584, 89, 212, 273]",0.05,0.01,0.02,0.0,0.02,0.0,0.89,,,,,,,,
245,"[595, 68, 212, 291]",0.16,0.01,0.24,0.04,0.06,0.01,0.47,,,,,,,,
246,"[603, 68, 220, 288]",0.12,0.06,0.04,0.01,0.06,0.0,0.71,,,,,,,,
247,"[597, 71, 223, 293]",0.03,0.01,0.04,0.01,0.05,0.0,0.87,,,,,,,,
248,"[604, 69, 211, 278]",0.06,0.0,0.04,0.01,0.06,0.0,0.83,,,,,,,,
249,"[599, 87, 204, 275]",0.07,0.61,0.03,0.01,0.08,0.0,0.19,,,,,,,,
250,"[588, 61, 216, 292]",0.07,0.0,0.53,0.0,0.06,0.2,0.13,,,,,,,,
251,"[579, 87, 228, 291]",0.07,0.0,0.32,0.0,0.24,0.02,0.35,,,,,,,,
252,"[581, 98, 223, 296]",0.08,0.0,0.31,0.03,0.1,0.03,0.44,,,,,,,,
253,"[579, 79, 225, 293]",0.1,0.0,0.24,0.01,0.37,0.04,0.25,,,,,,,,
254,"[582, 84, 220, 295]",0.11,0.01,0.13,0.05,0.39,0.02,0.31,"[246, 384, 108, 127]",0.15,0.0,0.12,0.22,0.09,0.02,0.4
255,"[575, 67, 213, 285]",0.02,0.0,0.75,0.02,0.02,0.06,0.12,,,,,,,,
