,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18,box19,angry19,disgust19,fear19,happy19,sad19,surprise19,neutral19,box20,angry20,disgust20,fear20,happy20,sad20,surprise20,neutral20
174,"[174, 66, 72, 92]",0.21,0.0,0.04,0.0,0.14,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"[167, 73, 74, 95]",0.2,0.0,0.01,0.05,0.13,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"[164, 74, 76, 93]",0.21,0.0,0.02,0.01,0.18,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"[165, 73, 76, 93]",0.18,0.0,0.02,0.0,0.22,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"[200, 62, 73, 91]",0.06,0.0,0.01,0.0,0.06,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"[224, 67, 73, 92]",0.69,0.0,0.04,0.01,0.05,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"[216, 71, 68, 91]",0.64,0.0,0.05,0.01,0.03,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"[217, 68, 74, 96]",0.35,0.0,0.05,0.01,0.05,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"[182, 66, 71, 89]",0.06,0.0,0.01,0.0,0.14,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"[192, 72, 75, 93]",0.09,0.0,0.02,0.0,0.32,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"[194, 79, 72, 87]",0.29,0.0,0.04,0.0,0.54,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"[189, 82, 74, 90]",0.05,0.0,0.02,0.0,0.23,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"[203, 77, 71, 90]",0.08,0.0,0.03,0.01,0.34,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"[192, 68, 71, 92]",0.18,0.0,0.01,0.01,0.11,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"[189, 71, 76, 94]",0.08,0.0,0.0,0.0,0.09,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"[183, 57, 75, 95]",0.1,0.0,0.05,0.0,0.18,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"[193, 67, 73, 89]",0.05,0.0,0.0,0.0,0.12,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"[184, 62, 77, 95]",0.21,0.0,0.02,0.0,0.19,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"[192, 69, 75, 95]",0.19,0.0,0.0,0.0,0.04,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"[208, 82, 76, 92]",0.07,0.0,0.01,0.02,0.04,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"[213, 77, 74, 92]",0.23,0.0,0.02,0.01,0.05,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"[228, 64, 76, 94]",0.5,0.0,0.04,0.01,0.05,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"[177, 67, 73, 92]",0.6,0.0,0.06,0.0,0.27,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"[177, 70, 73, 91]",0.57,0.0,0.09,0.0,0.27,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"[186, 66, 71, 93]",0.59,0.0,0.08,0.0,0.26,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"[221, 59, 71, 91]",0.54,0.0,0.1,0.0,0.05,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"[249, 57, 68, 89]",0.24,0.0,0.14,0.02,0.06,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"[239, 61, 71, 94]",0.56,0.0,0.09,0.01,0.11,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"[235, 64, 77, 95]",0.11,0.0,0.03,0.0,0.03,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"[221, 59, 78, 95]",0.14,0.0,0.03,0.0,0.24,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"[180, 70, 74, 94]",0.36,0.0,0.1,0.0,0.33,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"[182, 64, 76, 94]",0.22,0.0,0.21,0.0,0.16,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"[193, 67, 74, 94]",0.12,0.0,0.01,0.0,0.08,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"[192, 64, 74, 94]",0.42,0.0,0.07,0.01,0.14,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"[191, 72, 75, 96]",0.14,0.0,0.01,0.01,0.15,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"[217, 58, 70, 89]",0.14,0.0,0.02,0.0,0.06,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"[232, 60, 73, 94]",0.42,0.0,0.05,0.01,0.06,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"[240, 67, 70, 93]",0.38,0.0,0.09,0.01,0.17,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"[242, 66, 73, 93]",0.68,0.0,0.06,0.0,0.06,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"[238, 60, 17, 23]",0.06,0.0,0.16,0.01,0.61,0.05,0.12,"[112, 160, 22, 29]",0.32,0.0,0.03,0.01,0.25,0.0,0.38,"[382, 112, 20, 27]",0.13,0.01,0.3,0.06,0.21,0.18,0.11,"[149, 145, 24, 32]",0.52,0.0,0.06,0.16,0.11,0.01,0.15,"[398, 94, 17, 22]",0.16,0.0,0.03,0.01,0.32,0.0,0.47,"[48, 69, 14, 19]",0.07,0.0,0.02,0.19,0.32,0.0,0.39,"[419, 85, 18, 23]",0.42,0.0,0.02,0.07,0.32,0.0,0.17,"[61, 168, 28, 39]",0.17,0.0,0.12,0.03,0.17,0.01,0.5,"[250, 96, 20, 26]",0.13,0.0,0.27,0.09,0.3,0.01,0.2,"[185, 63, 19, 24]",0.52,0.0,0.02,0.05,0.31,0.0,0.1,"[329, 78, 14, 18]",0.04,0.0,0.13,0.11,0.55,0.1,0.08,"[135, 39, 14, 18]",0.14,0.0,0.32,0.21,0.24,0.02,0.07,"[189, 130, 18, 25]",0.35,0.01,0.2,0.01,0.39,0.01,0.04,"[282, 167, 30, 35]",0.18,0.0,0.03,0.01,0.42,0.01,0.35,"[304, 46, 16, 23]",0.05,0.0,0.03,0.0,0.87,0.0,0.05,"[127, 87, 22, 26]",0.72,0.0,0.01,0.02,0.24,0.0,0.01,"[77, 60, 16, 20]",0.33,0.0,0.08,0.05,0.4,0.04,0.1,"[104, 57, 13, 17]",0.04,0.0,0.04,0.03,0.78,0.01,0.09,"[445, 77, 13, 18]",0.02,0.0,0.03,0.39,0.28,0.01,0.27,,,,,,,,,,,,,,,,
214,"[68, 171, 22, 32]",0.27,0.0,0.06,0.2,0.1,0.06,0.32,"[238, 61, 16, 21]",0.12,0.0,0.19,0.01,0.48,0.08,0.12,"[422, 87, 16, 20]",0.2,0.0,0.05,0.01,0.67,0.0,0.07,"[397, 93, 19, 23]",0.05,0.0,0.15,0.01,0.58,0.0,0.21,"[111, 158, 23, 31]",0.23,0.0,0.02,0.01,0.17,0.0,0.57,"[149, 145, 24, 31]",0.55,0.0,0.03,0.14,0.1,0.0,0.18,"[27, 118, 21, 27]",0.51,0.0,0.23,0.01,0.21,0.0,0.04,"[189, 130, 19, 25]",0.42,0.0,0.18,0.01,0.31,0.03,0.04,"[49, 69, 14, 19]",0.05,0.0,0.02,0.15,0.31,0.0,0.46,"[185, 63, 19, 24]",0.57,0.0,0.01,0.06,0.27,0.0,0.09,"[129, 87, 20, 26]",0.51,0.0,0.02,0.1,0.33,0.0,0.05,"[103, 56, 15, 17]",0.02,0.0,0.02,0.01,0.84,0.02,0.08,"[249, 96, 21, 26]",0.13,0.0,0.18,0.11,0.32,0.01,0.26,"[304, 46, 16, 22]",0.07,0.0,0.04,0.0,0.84,0.0,0.05,"[77, 60, 16, 19]",0.32,0.0,0.08,0.03,0.47,0.02,0.09,"[283, 92, 19, 23]",0.13,0.01,0.15,0.26,0.27,0.04,0.15,"[135, 39, 13, 18]",0.16,0.0,0.35,0.11,0.27,0.02,0.09,"[327, 77, 13, 16]",0.05,0.0,0.17,0.32,0.31,0.08,0.08,"[240, 199, 99, 127]",0.03,0.0,0.01,0.12,0.63,0.0,0.2,"[385, 113, 22, 28]",0.12,0.0,0.15,0.11,0.4,0.07,0.15,"[404, 116, 22, 25]",0.45,0.0,0.1,0.18,0.21,0.0,0.05
215,"[67, 171, 23, 31]",0.26,0.0,0.03,0.19,0.11,0.02,0.4,"[111, 159, 23, 30]",0.37,0.0,0.04,0.0,0.17,0.0,0.41,"[149, 145, 25, 31]",0.56,0.0,0.03,0.14,0.1,0.01,0.17,"[238, 61, 16, 21]",0.14,0.0,0.19,0.01,0.46,0.07,0.13,"[421, 87, 17, 21]",0.27,0.0,0.11,0.03,0.48,0.0,0.11,"[397, 94, 17, 23]",0.08,0.0,0.07,0.07,0.51,0.0,0.26,"[185, 63, 20, 24]",0.27,0.0,0.01,0.11,0.46,0.0,0.14,"[49, 70, 14, 18]",0.03,0.0,0.05,0.08,0.54,0.0,0.29,"[280, 170, 27, 35]",0.37,0.0,0.05,0.02,0.34,0.01,0.22,"[250, 96, 20, 26]",0.15,0.0,0.22,0.07,0.42,0.0,0.13,"[188, 130, 19, 25]",0.41,0.0,0.13,0.01,0.39,0.03,0.03,"[78, 60, 15, 19]",0.33,0.0,0.18,0.06,0.25,0.04,0.13,"[301, 84, 16, 22]",0.03,0.0,0.03,0.19,0.46,0.01,0.29,"[280, 91, 17, 22]",0.06,0.0,0.11,0.17,0.34,0.01,0.3,"[129, 88, 20, 25]",0.59,0.0,0.04,0.1,0.26,0.0,0.02,"[305, 47, 15, 21]",0.05,0.0,0.05,0.0,0.87,0.0,0.03,"[28, 117, 22, 27]",0.17,0.0,0.1,0.02,0.44,0.0,0.27,"[327, 76, 13, 18]",0.08,0.0,0.13,0.12,0.47,0.14,0.06,"[446, 77, 13, 18]",0.02,0.0,0.04,0.32,0.43,0.01,0.17,"[135, 39, 13, 18]",0.1,0.0,0.36,0.15,0.28,0.01,0.1,"[387, 113, 19, 25]",0.04,0.02,0.06,0.73,0.09,0.03,0.03
216,"[194, 68, 75, 94]",0.1,0.0,0.02,0.0,0.09,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"[193, 61, 72, 92]",0.05,0.0,0.05,0.0,0.1,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"[190, 70, 76, 93]",0.18,0.0,0.03,0.0,0.11,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"[189, 62, 73, 91]",0.06,0.0,0.08,0.0,0.12,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"[204, 60, 74, 90]",0.45,0.0,0.02,0.0,0.12,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"[232, 65, 74, 94]",0.34,0.0,0.12,0.03,0.11,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"[236, 58, 71, 92]",0.54,0.0,0.04,0.01,0.11,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"[219, 76, 71, 91]",0.18,0.0,0.02,0.05,0.1,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"[227, 65, 72, 94]",0.3,0.0,0.05,0.02,0.18,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"[246, 66, 71, 92]",0.58,0.0,0.05,0.01,0.04,0.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"[206, 51, 72, 91]",0.11,0.0,0.08,0.0,0.1,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"[180, 65, 77, 94]",0.07,0.0,0.02,0.0,0.27,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"[178, 69, 75, 95]",0.23,0.0,0.06,0.0,0.22,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
