,id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
89,93,2.0,1.0,1.0,3.0,3.0,0.1726909090909091,0.00021818181818181818,0.24770909090909093,0.0636,0.24599999999999997,0.03607272727272728,0.23178181818181817,0.6666181818181818,0,0
90,94,2.0,1.0,1.0,3.0,3.0,0.24429530201342287,0.0003020134228187919,0.2549664429530201,0.07738255033557048,0.09916107382550336,0.1018791946308725,0.22104026845637587,0.5987248322147651,0,0
91,95,4.0,4.0,4.0,3.0,3.0,0.6485623003194888,0.003929712460063898,0.1175079872204473,0.002523961661341853,0.19412140575079873,0.0034824281150159747,0.02875399361022364,0.9641214057507987,1,1
92,96,4.0,4.0,4.0,3.0,3.0,0.2834468085106383,0.0008510638297872341,0.07208510638297873,0.016468085106382976,0.5680851063829787,0.0022127659574468087,0.053702127659574474,0.9244680851063829,1,1
93,97,4.0,4.0,4.0,3.0,3.0,0.44598639455782313,0.00017006802721088437,0.07108843537414966,0.014115646258503402,0.4036734693877551,0.007891156462585034,0.05452380952380953,0.9209183673469388,1,1
94,98,4.0,4.0,4.0,3.0,3.0,0.5954347826086958,0.0014596273291925465,0.07487577639751553,0.017763975155279506,0.24301242236024845,0.003726708074534162,0.06093167701863354,0.9147826086956523,1,1
95,99,4.0,4.0,4.0,3.0,3.0,0.3336212624584718,0.001461794019933555,0.16794019933554816,0.006312292358803986,0.39096345514950165,0.009700996677740863,0.08790697674418604,0.8939867109634552,1,1
96,100,4.0,4.0,4.0,,,0.44734006734006737,0.0006060606060606061,0.11818181818181821,0.00936026936026936,0.23952861952861954,0.0072390572390572385,0.17565656565656565,0.8056565656565657,1,1
97,101,4.0,4.0,4.0,,,0.2592446043165467,0.0015107913669064749,0.10183453237410073,0.01431654676258993,0.22010791366906474,0.02629496402877698,0.37503597122302157,0.5826978417266186,1,1
98,102,4.0,4.0,4.0,,,0.4622333333333334,0.0032333333333333333,0.0952,0.020399999999999998,0.1461666666666667,0.025,0.2454333333333333,0.7068333333333333,1,1
99,105,2.0,4.0,2.0,,,0.10519379844961241,0.0013565891472868217,0.11430232558139534,0.34410852713178297,0.102015503875969,0.16031007751937984,0.17236434108527132,0.3228682170542636,0,1
100,106,2.0,4.0,2.0,,,0.06232786885245902,0.0007868852459016394,0.03816393442622951,0.2966885245901639,0.05888524590163935,0.0678360655737705,0.474295081967213,0.1601639344262295,0,1
101,107,2.0,4.0,2.0,,,0.1643288590604027,0.0001342281879194631,0.05593959731543625,0.30781879194630873,0.07067114093959732,0.05694630872483222,0.3425838926174497,0.29107382550335575,0,1
102,108,2.0,4.0,2.0,,,0.08165562913907283,9.933774834437086e-05,0.04288079470198675,0.35135761589403974,0.28788079470198674,0.03682119205298014,0.1980794701986755,0.4125165562913907,0,1
103,109,2.0,4.0,2.0,,,0.20414556962025313,0.0009810126582278482,0.060063291139240506,0.16161392405063293,0.4152531645569621,0.015632911392405066,0.14123417721518988,0.6804430379746835,0,1
104,110,2.0,1.0,1.0,,,0.18357377049180332,0.05413114754098361,0.1297377049180328,0.05013114754098361,0.09527868852459018,0.025836065573770488,0.46085245901639343,0.46272131147540996,0,0
105,113,2.0,1.0,1.0,,,0.3524333333333333,0.004666666666666667,0.1005,0.027866666666666665,0.14310000000000003,0.007133333333333333,0.3630333333333333,0.6007,0,0
106,114,2.0,1.0,1.0,,,0.3505102040816327,0.0015306122448979593,0.21207482993197277,0.026054421768707484,0.21581632653061225,0.0067346938775510205,0.18513605442176873,0.7799319727891156,0,0
107,115,4.0,4.0,4.0,,,0.2000438596491228,0.0007894736842105263,0.15526315789473688,0.08083333333333335,0.1617105263157895,0.07438596491228071,0.32609649122807016,0.5178070175438597,1,1
108,116,4.0,4.0,4.0,,,0.18763803680981594,0.002116564417177914,0.1336196319018405,0.015337423312883436,0.38923312883435585,0.0199079754601227,0.2508588957055215,0.7126073619631903,1,1
109,117,4.0,4.0,4.0,,,0.15745762711864408,0.002135593220338983,0.04979661016949153,0.0915593220338983,0.2564406779661017,0.017084745762711868,0.4240677966101695,0.4658305084745763,1,1
110,118,4.0,4.0,4.0,,,0.14156133828996284,0.00011152416356877323,0.3546468401486989,0.049851301115241636,0.10449814126394052,0.07382899628252788,0.27468401486988847,0.6008178438661711,1,1
111,119,4.0,4.0,4.0,,,0.24515463917525773,0.00044673539518900345,0.15151202749140893,0.03470790378006873,0.27766323024054984,0.006151202749140894,0.28254295532646045,0.6747766323024055,1,1
112,120,3.0,4.0,4.0,3.0,3.0,0.24070631970260223,0.0017472118959107807,0.0862453531598513,0.254275092936803,0.15921933085501858,0.06074349442379182,0.1965799256505576,0.4879182156133829,1,1
113,121,3.0,4.0,4.0,3.0,3.0,0.20278969957081544,0.0009871244635193132,0.1923175965665236,0.05115879828326181,0.1986266094420601,0.032918454935622316,0.3202575107296137,0.5947210300429184,1,1
114,122,3.0,4.0,4.0,3.0,3.0,0.2111036789297659,3.3444816053511705e-05,0.059933110367892985,0.07983277591973245,0.14752508361204014,0.021806020066889635,0.4796989966555183,0.41859531772575254,1,1
115,123,3.0,4.0,4.0,3.0,3.0,0.2715384615384615,0.0013636363636363637,0.1320979020979021,0.03828671328671329,0.22737762237762238,0.05164335664335664,0.27678321678321677,0.6323776223776223,1,1
116,124,3.0,4.0,4.0,3.0,3.0,0.25235099337748346,0.0004966887417218544,0.061092715231788074,0.10705298013245032,0.13317880794701986,0.021125827814569533,0.4236092715231788,0.44711920529801324,1,1
117,125,3.0,1.0,3.0,3.0,3.0,0.2941818181818182,0.011381818181818182,0.07676363636363637,0.010945454545454546,0.3066909090909091,0.006945454545454546,0.2913818181818182,0.6890181818181819,1,0
118,126,3.0,1.0,3.0,3.0,3.0,0.16108695652173916,0.0022608695652173915,0.18917391304347828,0.005913043478260871,0.2492608695652174,0.01326086956521739,0.37795652173913047,0.6017826086956523,1,0
119,127,3.0,1.0,3.0,3.0,3.0,0.6403030303030303,0.008636363636363636,0.04943181818181819,0.0003787878787878788,0.17507575757575758,0.0013636363636363637,0.12200757575757576,0.8734469696969697,1,0
120,128,3.0,1.0,3.0,3.0,3.0,0.3393359375,0.005664062500000001,0.05343750000000001,0.023906250000000004,0.2881640625,0.026250000000000002,0.2623828125,0.6866015625,1,0
